Title,URL,Time,Abstrace,State
Science at the End of the Earth,https://www.nytimes.com/video/us/100000003828971/science-at-the-end-of-the-earth.html,2015-08-03T08:57:14+0000,A team of scientists spent five days collecting and dissecting fish on remote St. Lawrence Island in Alaska to study the effects of pollution from old military installations on the habitat.,Alaska
National Briefing | West: Alaska: Battle Over Cruise Ship Dumping,https://www.nytimes.com/2001/05/03/us/national-briefing-west-alaska-battle-over-cruise-ship-dumping.html,2001-05-03T05:00:00+0000,Alaska officials and lobbyists reach agreement on bill intended to crack down on sewage dumping and other pollution by ships (S),Alaska
Alaskans’ Cost of Staying Warm: A Thick Coat of Dirty Air,https://www.nytimes.com/2016/12/25/us/alaskans-cost-of-staying-warm-a-thick-coat-of-dirty-air.html,2016-12-25T08:00:25+0000,"When temperatures drop around North Pole, Alaska, wood smoke that goes up comes down again, causing dangerous pollution to hover at lung level.",Alaska
Alaska’s Quandary,https://www.nytimes.com/slideshow/2008/08/23/us/0823ALASKA_index.html,2008-08-23T08:35:02+0000,"Alaskans are set to vote on whether to allow the mining of large deposits of copper, gold and other metals at the possible expense of the state’s strong salmon industry.",Alaska
On Our Radar: Shipping Paths Redrawn Off Alaska,https://green.blogs.nytimes.com/2013/02/28/on-our-radar-shipping-paths-redrawn-off-alaska/,2013-02-28T20:43:46+0000,Melting ice has opened or widened so many corridors that NOAA has prepared new charts.,Alaska
National Briefing | West: Alaska: Diesel Fuel Leaks,https://www.nytimes.com/2001/08/08/us/national-briefing-west-alaska-diesel-fuel-leaks.html,2001-08-08T05:00:00+0000,"Fishing vessel that sank in Alaska's Prince William Sound is leaking 35,000 gallons of fuel (S)",Alaska
Shell Seeks to Weaken Air Rules for Arctic Drilling,https://green.blogs.nytimes.com/2012/07/13/shell-seeks-to-weaken-air-rules-for-arctic-drilling/,2012-07-13T18:56:19+0000,Shell says its rig Discoverer cannot meet the emissions requirements of an air permit granted by the E.P.A. in January.,Alaska
"Shell Violated Air Permits for Arctic Ships, E.P.A. Says",https://green.blogs.nytimes.com/2013/01/11/shell-violated-air-permits-for-arctic-ships-e-p-a-says/,2013-01-11T19:43:05+0000,"Its ships allowed excess nitrogen oxides to escape during the abbreviated 2012 drilling season last summer and fall, the agency says.",Alaska
National Briefing | West: Alaska: Group Tracks Oil And Gas Spills,https://www.nytimes.com/2002/09/20/us/national-briefing-west-alaska-group-tracks-oil-and-gas-spills.html,2002-09-20T05:00:00+0000,"Environmental group Cook Inlet Keeper says more than 50,000 gallons of oil and gas is spilled into Alaska's Cook Inlet each year; evaluation of seven pipeline companies' performance ranks Unocal as having worst spill rate (S)",Alaska
National Briefing | West: Alaska: Oil Spill's Effects Linger,https://www.nytimes.com/2003/12/19/us/national-briefing-west-alaska-oil-spill-s-effects-linger.html,2003-12-19T05:00:00+0000,"Study finds that although most of big environmental effects of 1989 oil spill from Exxon Valdez tanker quickly dissipated, oil's toxic effects on various species around Prince William Soung persisted far longer than expected (S)",Alaska
National Briefing | West: Alaska: Captain In Valdez Spill Pays Debt,https://www.nytimes.com/2002/05/17/us/national-briefing-west-alaska-captain-in-valdez-spill-pays-debt.html,2002-05-17T05:00:00+0000,"Joseph J Hazelwood, former captain of Exxon Valdez responsible for country's worst oil spill, finishes paying his debt to State of Alaska with $50,000 check; restitution was part of sentence issued in 1990; photo (S)",Alaska
House Passes Energy Bill For 3rd Time,https://www.nytimes.com/2004/06/16/us/house-passes-energy-bill-for-3rd-time.html,2004-06-16T05:00:00+0000,House Republicans again pass $31-billion energy bill that has failed in Senate over objections to legal immunity for producers of gasoline additive blamed for water pollution; hope record gas prices and election season will push bill into law; leadership also hopes to push through new proposal to allow drilling in Arctic National Wildlife Refuge (S),Alaska
Court Upholds E.P.A. Role in Alaska Case,https://www.nytimes.com/2004/01/22/us/court-upholds-epa-role-in-alaska-case.html,2004-01-22T05:00:00+0000,"Supreme Court, narrowly divided on question of federal versus state regulation, upholds Environmental Protection Agency's authority to insist that factories and power plans use 'best available' anti-pollution technology and to block construction of those that, in agency's view, do not; 5-to-4 decision comes in dispute that arose when EPA overruled Alaska's acceptance of technology that Red Dog Mine, world's largest zinc mine, proposed for use to control additional pollutants that expanded facility would emit; Red Dog Mine, 100 miles north of Arctic circle, is largest private employer in northwest Alaksa; Teck Cominco Alaska Inc is mine owner (M)",Alaska
"Spawning Salmon Haul Toxins to Alaska Lakes, Experts Find",https://www.nytimes.com/2003/09/23/science/spawning-salmon-haul-toxins-to-alaska-lakes-experts-find.html,2003-09-23T05:00:00+0000,"Dr Jules Blais, University of Ottawa assistant biology professor, forms team of mostly Canadian scientists to study rising PCB levels in Alaska's fresh water lakes; findings, published in journal Nature, show link between concentration level of PCBs in lakes and number of salmon spawning in them; emphasize need to explore ways pollutants are transmitted around globe; PCBs, along with 11 other highly toxic chemicals, were banned by 122 countries in 2000; map; photo (M)",Alaska
Reckonings; Smog and Mirrors,https://www.nytimes.com/2001/01/31/opinion/reckonings-smog-and-mirrors.html,2001-01-31T05:00:00+0000,Paul Krugman Op-Ed column contends that Pres Bush is trying to dispel doubts about his legitimacy when he blames pollution controls for California energy crisis and uses crisis to argue for opening Arctic tundra to oil drilling; asserts that that by winning series of striking victories against moderates Bush hopes he can create an 'illusion of a mandate' that the election did not give him (M),Alaska
Oil Giant Acts and Skeptics React,https://www.nytimes.com/2006/08/26/business/oil-giant-acts-and-skeptics-react.html,2006-08-26T05:00:00+0000,"What's Online column; critics post comments on Meta filter.com and Desmog Blog about BP, which introduced targetneutral.com program that enables drivers in Britain to determine how much carbon dioxide pollution they helped create and to offset it by supporting green energy initiatives; program comes at time when Environmental Protection Agency is investigating accusations that BP manipulated data to avoid having to replace pipelines in Prudhoe Bay oil field, which BP shut because of corrosion; Forbes.com, following complaints from bloggers, withdraws two articles by executive editor Michael Noer warning against marrying 'career girls'; Milwaukee Journal-Sentinel (jsonline.com) recounts incident in which workers added cocoa butter to vat to thin dark chocolate that trapped worker at chocolate factory in Kenosha (Wis); drawing (M)",Alaska
Time for Exxon to Pay,https://www.nytimes.com/2004/01/30/opinion/time-for-exxon-to-pay.html,2004-01-30T05:00:00+0000,Editorial says Judge Russel Holland was not being excessive when he imposed $4.5 billion in punitive damages on Exxon Mobil for Exxon Valdez oil spill in Alaska's Prince William Sound in 1989,Alaska
The Dirty Little Deals That Would Foul the Environment,https://www.nytimes.com/2018/02/19/opinion/republican-environment-policy.html,2018-02-20T01:22:34+0000,"Republicans are adding measures to appropriations bills that would gut protections of the air, water and landscape.",Alaska
"Congress, After Years of Effort, Is Set to Pass Broad Energy Bill",https://www.nytimes.com/2005/07/27/politics/congress-after-years-of-effort-is-set-to-pass-broad-energy-bill.html,2005-07-27T05:00:00+0000,"Congress, after coming up short for years, is preparing to enact mammoth energy plan that would provide generous subsidies to oil and gas industries, encourage new nuclear plants, try to encourage renewable fuels and give federal government new power to override local objections to terminals for LNG imports; Pres Bush will go to Capitol Hill to rally House members; Energy Committee chairman Joe Barton accepts Senate's refusal to go along with easing of air pollution rules he sought for his Texas district; bill sidesteps oil drilling in Arctic National Wildlife Refuge; would extend daylight savings time in 2007, from second Sunday in March until first Sunday in November; list of key provisions; Barton estimates direct spending of up to $12 billion; Taxpayers for Common Sense sees potential $80-billion cost; conservation groups also are critical of proposal (M)",Alaska
A Canadian Threat to Alaskan Fishing,https://www.nytimes.com/2016/01/24/opinion/sunday/a-canadian-threat-to-alaskan-fishing.html,2016-01-23T19:25:45+0000,Mining projects endanger the state’s salmon rivers.,Alaska
Appeals Panel Cuts Award in Valdez Spill by Exxon,https://www.nytimes.com/2006/12/23/us/appeals-panel-cuts-award-in-valdez-spill-by-exxon.html,2006-12-23T05:00:00+0000,Federal appeals panel cuts $4.5 billion punitive damages award against Exxon Mobil as result of Exxon Valdez oil spill in 1989 to $2.5 million; says company's negligent conduct had not been intentional and had not warranted maximum financial penalty that lower court imposed (M),Alaska
Biden Administration Moves to Protect Alaska’s Bristol Bay,https://www.nytimes.com/2021/09/09/climate/alaska-bristol-bay.html,2021-09-09T17:02:03+0000,"The bay, home to a key sockeye salmon fishery, sits atop a massive gold and copper deposit, pitting environmentalists against mining companies.",Alaska
National Briefing: West,https://www.nytimes.com/2003/04/19/national/national-briefing-west.html,2003-04-19T05:00:00+0000,NEVADA: Gold Producer Accused; ALASKA: Prohibition Returns;.,Alaska
Fishermen Express Dismay Over Exxon Valdez Ruling,https://www.nytimes.com/2001/11/09/us/fishermen-express-dismay-over-exxon-valdez-ruling.html,2001-11-09T05:00:00+0000,Alaska fishermen who have lost hundreds of thousands of dollars income since Exxon Valdez despoiled Prince William Sound in 1989 are dismayed by appellate court decision that $5-billion verdict was excessive; Herb Jensen and others discuss their plight (S),Alaska
What’s Killing Pacific Whales?,https://www.nytimes.com/2019/06/22/opinion/sunday/dead-whales-pacific.html,2019-06-22T18:30:22+0000,Emaciated gray whales are washing ashore dead. Scientists are trying to solve the mystery.,Alaska
Arctic Refuse,https://www.nytimes.com/2001/12/02/magazine/lives-arctic-refuse.html,2001-12-02T05:00:00+0000,David Masiel article on pollution of land and water that is everyday part of working oil fields of North Slope (M),Alaska
"Lawrence Rawl, 76, Exxon's Chief in Valdez Spill, Dies",https://www.nytimes.com/2005/02/16/obituaries/lawrence-rawl-76-exxons-chief-in-valdez-spill-dies.html,2005-02-16T05:00:00+0000,"Lawrence G Rawl, who led overhaul of Exxon's operations in 1980's and shaped company's response to Exxon Valdez oil spill, dies at age 76; photo (M)",Alaska
"For Planet Earth, No Tourism Is a Curse and a Blessing",https://www.nytimes.com/2021/03/07/travel/covid-pandemic-environmental-impact.html,2021-03-07T10:00:18+0000,"From the rise in poaching to the waning of noise pollution, travel’s shutdown is having profound effects. Which will remain, and which will vanish?",Alaska
A Dwindling Catch Has Alaskans Uneasy,https://www.nytimes.com/2018/08/21/dining/red-salmon-alaska.html,2018-08-21T17:14:56+0000,"Red salmon, a summertime pleasure that feeds residents through the winter, has failed to show up this season in most rivers.",Alaska
Alaska Oil Spill Takes Toll on Animals and Fisheries,https://www.nytimes.com/2004/12/30/us/alaska-oil-spill-takes-toll-on-animals-and-fisheries.html,2004-12-30T05:00:00+0000,"Estimated number of amimals killed or injured by oil has sharply increased as rare break in rough Bering Sea weather allows officials to gain better sense of damage from large spill in Aleutian Islands; more than 355,000 gallons of fuel oil are thought to have spilled from freighter that ran aground on Dec 8; biologists have so far counted 109 bird carcasses and more than 600 birds coated with oil in area around wreck; they expect thousands to have been killed; local crab-fishing season has been canceled (M)",Alaska
Pipeline Crews Tackle Huge Oil Spill Caused by Shooting,https://www.nytimes.com/2001/10/06/us/pipeline-crews-tackle-huge-oil-spill-caused-by-shooting.html,2001-10-06T05:00:00+0000,"Workers struggle to contain one of largest spills in history of Trans-Alaska Pipeline, caused by drunk men who fired bullet into 4-foot-wide structure; at least 150,000 gallons of oil spill onto tundra north of Fairbanks; photo; map; Daniel Carlson Lewis, who has long criminal record, is arrested in Livengood (M)",Alaska
Clashing Opinions at Meeting on Alaska Drilling,https://www.nytimes.com/2001/01/10/us/clashing-opinions-at-meeting-on-alaska-drilling.html,2001-01-10T05:00:00+0000,"Oil companies, conservation groups and Alaska Native communities square off before panel of scientists in Anchorage, presenting clashing visions of impact of expanding oil and gas drilling on North Slope; oil industry claims new techniques will minimize pollution and harm to wildlife; conservationists fear irrevocable damage to one of nation's wildest and most fragile landscapes; photo (M)",Alaska
Alaska Gets to Choose,https://www.nytimes.com/2008/08/26/opinion/26tue2.html,2008-08-26T02:36:35+0000,An initiative intended to strengthen protections for the headwaters of Bristol Bay should get the overwhelming approval of Alaskans.,Alaska
$92 Million More Is Sought for Exxon Valdez Cleanup,https://www.nytimes.com/2006/06/02/us/92-million-more-is-sought-for-exxon-valdez-cleanup.html,2006-06-02T05:00:00+0000,Justice Department and state of Alaska will seek $92 million from Exxon Mobil to clean up stubborn patches of oil that have not dissipated since Exxon Valdez spill in 1989; map; $900-million settlement in 1991 allowed for reopening case up to 15 years later in event of unforseeable damage (M),Alaska
$4.5 Billion Award Set For Spill of Exxon Valdez,https://www.nytimes.com/2004/01/29/us/4.5-billion-award-set-for-spill-of-exxon-valdez.html,2004-01-29T05:00:00+0000,"Alaska federal Judge H Russel Holland imposes punitive damages of $4.5 billion on Exxon Mobil Corp for Exxon Valdez's spill of 11 million gallons of crude oil into Prince William Sound fifteen years ago; lawyers for 32,000 fishermen and residents say total with interest is about $6.75 billion; appeals court rejected two earlier awards as too high (M)",Alaska
How Do You Fight the Coronavirus Without Running Water?,https://www.nytimes.com/2020/05/02/opinion/coronavirus-water.html,2020-05-02T15:00:11+0000,Entire communities around the country face this terrifying virus without being even able to wash their hands.,Alaska
"For These Americans, Clean Water Is a Luxury",https://www.nytimes.com/2016/10/20/opinion/for-these-americans-clean-water-is-a-luxury.html,2016-10-20T07:21:12+0000,"In some places around the country, families rely on buckets, bottles, even animal troughs.",Alaska
Sea of Trash,https://www.nytimes.com/2008/06/22/magazine/22Plastics-t.html,2008-06-22T04:00:00+0000,"The world’s oceans are filling with bottles, wrappers and other flotsam. Is there anything better to be done than picking it off the beach, one piece at a time?",Alaska
Court Overturns Jury Award In '89 Exxon Valdez Spill,https://www.nytimes.com/2001/11/08/us/court-overturns-jury-award-in-89-exxon-valdez-spill.html,2001-11-08T05:00:00+0000,"Federal appeals court rules that $5.3 billion in punitive damages Exxon Corp was ordered to pay for 1989 Exxon Valdez oil spill, worst in nation's history, was excessive; vacates 1994 jury award to 33,000 commercial fishermen, Alaska Natives, property owners and others and tells judge to set lower amount (M)",Alaska
Testy Sea Hampers Response to Alaskan Spill,https://www.nytimes.com/2004/12/13/us/testy-sea-hampers-response-to-alaskan-spill.html,2004-12-13T05:00:00+0000,"Potentially worst oil spill in Alaska since Exxon Valdez spill in 1989 is near Aluetian Islands in Bering Sea, in some of most punishing waters on planet; Capt Kevin Bell, ship operator for Alaska Maritime National Wildlife Refuge, is not optimistic that he can ferry biologists close enough to truly assess impact of spill; freighter went aground, with six crew members missing and presumed dead and unknown amount of its 470,000 gallons of viscous fuel leaking; photo; map (M)",Alaska
Are We Experienced | Governing Happens,https://www.nytimes.com/2008/09/14/opinion/14knowles.html,2008-09-13T19:11:13+0000,"I believe it is what one does in office, not the holding of office, that prepares one for future public service.",Alaska
How to Protect Bristol Bay’s Salmon for the Long Haul,https://www.nytimes.com/2022/07/04/opinion/salmon-alaska-bristol-bay-pebble-mine.html,2022-07-04T19:00:06+0000,"E.P.A. action, legislation and land conservation together can permanently protect Alaska’s Bristol Bay, the salmon and a way of life.",Alaska
Pasturing Sablefish in the Pacific,https://www.nytimes.com/2004/09/22/dining/pasturing-sablefish-in-the-pacific.html,2004-09-22T05:00:00+0000,"First sablefish fingerlings are introduced into two fish farms along coast of British Columbia, and more than 40 new farms have been permitted in last year along Pacific shoreline; first fish will be ready for market in year and half of so (M)",Alaska
The Arctic Drilling Countdown,https://green.blogs.nytimes.com/2012/08/06/the-arctic-drilling-countdown/,2012-08-06T18:39:46+0000,"The interior secretary is on his way to Alaska, but Obama administration officials caution that this doesn’t mean that permits are imminent for Shell.",Alaska
Biden Aims to End Arctic Drilling. A Trump-Era Law Could Foil His Plans.,https://www.nytimes.com/2021/06/02/climate/ANWR-drilling-Biden.html,2021-06-02T21:02:17+0000,The administration suspended leases that were auctioned in the waning days of the Trump White House. But a 2017 law requires another sale.,Alaska
"Bush, in Energy Plan, Endorses New U.S. Drilling to Curb Prices",https://www.nytimes.com/2000/09/30/us/2000-campaign-texas-governor-bush-energy-plan-endorses-new-us-drilling-curb.html,2000-09-30T05:00:00+0000,"Gov George W Bush proposes wide-ranging $7.1 billion 10-year energy plan to curb rising oil and gas prices and limit nation's vulnerability to international oil market, speech, Saginaw, Mich; calls for more domestic fuel output, better ties with foreign oil suppliers and opening Alaska's Arctic National Wildlife Refuge for drilling; also proposes incentives for developing alternative energy sources and clean-burning fuels; charges Clinton administration and Vice Pres Al Gore failed to develop energy policy, forcing them to release oil from strategic reserves; Gore and running mate, Sen Joseph I Lieberman, rearrange schedules to deliver own remarks on energy and environment; environmentalists reject Bush's stand that limited oil exploration in Arctic refuge can be done in environmentally sensitive way; excerpt from Bush speech; table of candidates' energy proposals; photo (M)",Alaska
"A Land So Wild, It's Getting Crowded",https://www.nytimes.com/2000/08/20/travel/a-land-so-wild-it-s-getting-crowded.html,2000-08-20T05:00:00+0000,Timothy Egan travel article on $1 billion tourism industry that threatens Alaska with overcrowding and is raising environmenal concerns; photos; maps (L),Alaska
Measuring Greenhouse Gases in Alaska,https://www.nytimes.com/2017/10/05/business/measuring-greenhouse-gases-in-alaska.html,2017-10-05T14:42:58+0000,"Working in a harsh climate isn’t easy, but the job is important and there’s fun to be had.",Alaska
Gold vs. Salmon: An Alaska Mine Project Just Got a Boost,https://www.nytimes.com/2020/07/24/climate/pebble-mine-alaska-environment.html,2020-07-24T13:54:56+0000,"The Trump Administration, rejecting concerns over the risks to Alaska’s fishery, cleared the way on Friday for the Pebble Mine.",Alaska
"In Alaskan Islands, Fearing a Spill That Comes on Legs",https://www.nytimes.com/2004/12/28/us/in-alaskan-islands-fearing-a-spill-that-comes-on-legs.html,2004-12-28T05:00:00+0000,"Wildlife biologists are working furiously to protect millions of exotic animals after freighter runs aground few hundred miles from small island in Bering Sea and begins oozing oil into ocean; fear is that rats on board freighter will get near St Paul Island, which is still rat-free, attacking birds there; photos; map (M)",Alaska
A Mysterious Spiral in the Alaska Sky Had an Earthly Explanation,https://www.nytimes.com/2023/04/20/science/space/blue-spiral-aurora-borealis-alaska-spacex.html,2023-04-20T13:35:36+0000,A large blue swirl that appeared in the night sky and within the aurora borealis did not have to do with aliens but was probably a fuel dump from a SpaceX rocket launch.,Alaska
The Lieberman Method of Dismantling Opponents: Subtle as a Ton of Brickbats,https://www.nytimes.com/2000/09/30/us/2000-campaign-democratic-running-mate-lieberman-method-dismantling-opponents.html,2000-09-30T05:00:00+0000,"Sen Joseph I Lieberman, using Houston oil refinery as backdrop, scores Gov George W Bush's environmental record in Texas and his proposal to allow oil drilling in Alaska wilderness; displays his talent for making attacks that do not come across as attacks; photo (M)",Alaska
"Shell Vessels Sidelined, Imperiling Arctic Plans",https://www.nytimes.com/2013/02/12/business/shells-move-to-fix-drill-vessels-imperils-arctic-plans.html,2013-02-12T01:56:01+0000,The company’s ambitious oil exploration program in the Arctic has been hindered by delays for the last seven years.,Alaska
More Cruise Ships Are Calling in Alaska,https://www.nytimes.com/2002/08/04/travel/travel-advisory-correspondent-s-report-more-cruise-ships-are-calling-in-alaska.html,2002-08-04T05:00:00+0000,"Cruise lines, anticipating less demand for Mediterranean cruises because of September 11 terrorist attacks, move record 25 ships to Alaska for summer season, including new 2,600-passenger Star Princess; North West Cruise Ship Assn expects some 730,000 cruise passengers this year; Alaskan merchants worry that tourist spending will not keep pace because of weakened economy (M)",Alaska
7 Travel Stories to Help You Celebrate the 50th Anniversary of Earth Day,https://www.nytimes.com/2020/04/22/travel/earth-day-online.html,2020-04-22T09:00:28+0000,Confined to the great indoors on Earth Day? These stories will help remind you of the natural world’s many splendors — and why environmental protections are of crucial importance for the future of the planet.,Alaska
"IN ENERGY PLAN, BUSH URGES NEW DRILLING, CONSERVATION AND NUCLEAR POWER REVIEW",https://www.nytimes.com/2001/05/17/us/in-energy-plan-bush-urges-new-drilling-conservation-and-nuclear-power-review.html,2001-05-17T05:00:00+0000,"Pres Bush offers energy plan that calls for easing rules on oil and gas exploration, conservation-minded efforts like review of gas mileage standards and $4 billion tax credit for new generation of highly fuel efficient cars, and reconsideration of ban on reprocessing of nuclear fuel; warns America faces most serious energy shortage since 1970's, threatening its economy and security; orders sweeping review of public lands to determine whether more energy resources can be extracted; will issue energy report outlining 105 initiatives; plans executive orders directing federal agencies to weigh effects of all new regulation on energy production and to expedite permits for all energy projects 'while remaining mindful of protecting' environment; releases report overview holding federal regulation has unduly inhibited energy production and raised prices; report repeats Bush's commitment to explore for oil in Arctic National Wildlife Refuge; urges revision or reinterpretation of major Clean Air Act provision that requires long government review of any modifications of power plants that affect emissions; photos (M)",Alaska
ANWR And Peas,https://www.nytimes.com/2002/03/15/opinion/anwr-and-peas.html,2002-03-15T05:00:00+0000,"Paul Krugman Op-Ed column says Senate vote rejecting proposal to raise mileage standards on cars was result of alliance between conservatives and union leaders, same alliance that led House to support drilling in Alaskan wildlife refuge last summer; says fighting conservation gives Teamsters union leadership opportunity to look powerful; says union leadership surely knows that there will not be 700,000 new jobs in Alaska drilling, but union members do not know that; says union leaders also surely know that higher efficiency standards will not cost any auto worker jobs; says this alliance between showboating union leaders and conservatives could do much damage to nation's future (M)",Alaska
"Joseph Hazelwood, Captain of the Exxon Valdez, Is Dead at 75",https://www.nytimes.com/2022/09/09/business/joseph-hazelwood-dead.html,2022-09-09T16:24:48+0000,"The tanker spilled millions of gallons of oil when it ran aground, causing one of the nation’s worst environmental disasters. He accepted responsibility but was demonized.",Alaska
Administration Expected to Endorse Limited Drilling in Alaska Project,https://www.nytimes.com/2023/01/31/climate/willow-alaska-oil-drilling.html,2023-02-01T02:49:10+0000,"An environmental review expected soon would effectively signal that the Willow project proceed, according to people familiar with the report.",Alaska
Interior Dept. Expedites Review of Arctic Drilling After Accidents,https://www.nytimes.com/2013/01/09/us/arctic-drilling-to-be-reviewed-in-light-of-accidents.html,2013-01-09T02:05:12+0000,Officials said an assessment could halt or scale back Shell’s program to open Alaska’s Arctic waters to oil exploration.,Alaska
National Briefing,https://www.nytimes.com/2001/05/03/national/national-briefing.html,2001-05-03T05:00:00+0000,WEST,Alaska
Trump Administration Releases Plan to Open Tongass Forest to Logging,https://www.nytimes.com/2020/09/24/climate/tongass-logging.html,2020-09-25T00:41:22+0000,"The effort to open the Alaskan wilderness area, the nation’s largest national forest, has been in the works for about two years.",Alaska
Tsunami Debris Strains Budgets and Patience,https://green.blogs.nytimes.com/2012/08/16/tsunami-debris-strains-budgets-and-patience/,2012-08-16T17:12:03+0000,States along the Pacific Coast worry that vast amounts of trash will wash up and are concerned about invasive species.,Alaska
Starving Orcas and the Fate of Alaska’s Disappearing King Salmon,https://www.nytimes.com/2023/07/19/dining/alaska-king-salmon-orcas.html,2023-07-19T15:16:58+0000,"With the fish numbers at historic lows, scientists, chefs and others are asking whether we should be eating them anymore, and what it means for the future of all wild salmon.",Alaska
Walkout Sours Global Whaling Conference,https://green.blogs.nytimes.com/2011/07/14/walkout-sours-global-whaling-conference/,2011-07-14T22:25:33+0000,"Joined by allies, Japan, Norway and Iceland leave a whaling conference when countries try to call a vote on creating a whale sanctuary. Usually such decisions are made by consensus.",Alaska
Biden Administration Approves Huge Alaska Oil Project,https://www.nytimes.com/2023/03/12/climate/biden-willow-arctic-drilling-restrictions.html,2023-03-12T21:30:19+0000,"The administration also announced new limits on Arctic drilling in an apparent effort to temper criticism over the $8 billion Willow oil project, which has faced sharp opposition.",Alaska
Biden to Restore Protections for Tongass National Forest in Alaska,https://www.nytimes.com/2021/07/14/climate/tongass-roadless-rule-alaska.html,2021-07-15T02:21:29+0000,"Former President Donald J. Trump invited mining and logging to a vast wilderness of bald eagles, black bears and 800-year-old trees. President Biden is reversing course.",Alaska
"On the Water in Alaska, Where Salmon Fishing Dreams Live On",https://www.nytimes.com/2021/04/19/travel/alaska-salmon-fishing.html,2021-04-19T09:00:26+0000,"Each summer, salmon begin their journey back to the rivers where they were spawned. Alaskan fishermen, along with whales, eagles and bears, share in the abundance.",Alaska
Biden Administration Offers an Offshore Drilling Plan. Likely Backers: Very Few.,https://www.nytimes.com/2022/07/01/climate/biden-oil-gas-drilling-alaska.html,2022-07-01T21:12:14+0000,"The five-year plan for America’s coastal waters, required by law, risks angering both the fossil fuel industry and environmentalists.",Alaska
Obama Makes Urgent Appeal in Alaska for Climate Change Action,https://www.nytimes.com/2015/09/01/us/us-makes-urgent-appeal-for-climate-change-action-at-alaska-conference.html,2015-08-31T22:44:40+0000,"President Obama said at an international conference that “we’re not acting fast enough,” challenging leaders and citizens to reduce emissions to “protect the one planet that we’ve got while we still can.”",Alaska
"Rig Runs Aground in Alaska, Reviving Fears About Arctic Drilling",https://www.nytimes.com/2013/01/02/business/energy-environment/breakaway-oil-rig-runs-aground-in-gulf-of-alaska.html,2013-01-02T01:37:59+0000,"There are no signs of spilled fuel, but that remains a concern as long as the Shell Oil vessel is stuck; the Coast Guard hopes to get salvage experts aboard to assess the damage.",Alaska
Biden Administration Defends Huge Alaska Oil Drilling Project,https://www.nytimes.com/2021/05/26/climate/biden-alaska-drilling.html,2021-05-27T01:11:42+0000,"The administration says the country must pivot away from fossil fuels but backed a project set to produce more than 100,000 barrels of oil each day for 30 years.",Alaska
